city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Yuma,Yuma,32.5995,-114.5491,United States,US,USA,Arizona,,145839,1840021998
Olathe,Olathe,38.8833,-94.82,United States,US,USA,Kansas,,145057,1840003833
Santa Maria,Santa Maria,34.9333,-120.4431,United States,US,USA,California,,144941,1840021830
Thornton,Thornton,39.9197,-104.9438,United States,US,USA,Colorado,,144187,1840021422
Athens,Athens,33.9508,-83.3689,United States,US,USA,Georgia,,143681,1840029463
Torrance,Torrance,33.8346,-118.3416,United States,US,USA,California,,142130,1840021873
Fullerton,Fullerton,33.8841,-117.9279,United States,US,USA,California,,140968,1840020576
Grand Junction,Grand Junction,39.0877,-108.5673,United States,US,USA,Colorado,,140777,1840020230
Greeley,Greeley,40.4152,-104.7706,United States,US,USA,Colorado,,139842,1840020149
Metairie,Metairie,29.9977,-90.178,United States,US,USA,Louisiana,,139729,1840013994
Las Cruces,Las Cruces,32.3265,-106.7893,United States,US,USA,New Mexico,,139530,1840020683
Houma,Houma,29.58,-90.7059,United States,US,USA,Louisiana,,139352,1840015063
Lakewood,Lakewood,40.0763,-74.2031,United States,US,USA,New Jersey,,139019,1840081607
Miramar,Miramar,25.9773,-80.3351,United States,US,USA,Florida,,138600,1840015137
West Valley City,West Valley City,40.6886,-112.0123,United States,US,USA,Utah,,138437,1840021389
Orange,Orange,33.8038,-117.8218,United States,US,USA,California,,138266,1840020582
Warren,Warren,42.4934,-83.027,United States,US,USA,Michigan,,137928,1840002418
Charleston,Charleston,38.3484,-81.6322,United States,US,USA,West Virginia,admin,137865,1840006196
Hampton,Hampton,37.0551,-76.363,United States,US,USA,Virginia,,137557,1840003866
Elizabeth,Elizabeth,40.6658,-74.1913,United States,US,USA,New Jersey,,137302,1840003613
Stamford,Stamford,41.1039,-73.5585,United States,US,USA,Connecticut,,137144,1840004841
Pasadena,Pasadena,34.1597,-118.139,United States,US,USA,California,,136969,1840020505
Racine,Racine,42.7274,-87.8135,United States,US,USA,Wisconsin,,136637,1840002493
Yakima,Yakima,46.5923,-120.5496,United States,US,USA,Washington,,136518,1840021154
Coral Springs,Coral Springs,26.2702,-80.2591,United States,US,USA,Florida,,136103,1840015134
Kent,Kent,47.3887,-122.2128,United States,US,USA,Washington,,135603,1840018424
Bellingham,Bellingham,48.7548,-122.469,United States,US,USA,Washington,,135591,1840018346
Bloomington,Bloomington,40.4757,-88.9703,United States,US,USA,Illinois,,135296,1840007207
Tyler,Tyler,32.3184,-95.3062,United States,US,USA,Texas,,134739,1840022076
Carrollton,Carrollton,32.989,-96.8999,United States,US,USA,Texas,,133740,1840019436
Sterling Heights,Sterling Heights,42.5809,-83.0305,United States,US,USA,Michigan,,133573,1840003094
Iowa City,Iowa City,41.6559,-91.5303,United States,US,USA,Iowa,,133565,1840000532
Lehigh Acres,Lehigh Acres,26.612,-81.6388,United States,US,USA,Florida,,132353,1840014220
Johnson City,Johnson City,36.3406,-82.3806,United States,US,USA,Tennessee,,131898,1840014462
Coeur d'Alene,Coeur d'Alene,47.704,-116.7936,United States,US,USA,Idaho,,131592,1840018402
Dover,Dover,39.161,-75.5202,United States,US,USA,Delaware,admin,131461,1840005810
Lewisville,Lewisville,33.0454,-96.9815,United States,US,USA,Texas,,131080,1840020639
Amherst,Amherst,43.0117,-78.757,United States,US,USA,New York,,130546,1840057194
Santa Clara,Santa Clara,37.3646,-121.968,United States,US,USA,California,,130256,1840021571
Meridian,Meridian,43.6116,-116.3977,United States,US,USA,Idaho,,130138,1840020046
Temple,Temple,31.1068,-97.3891,United States,US,USA,Texas,,129969,1840022154
Norman,Norman,35.2335,-97.3471,United States,US,USA,Oklahoma,,129672,1840020451
Kailua,Kailua,21.392,-157.7396,United States,US,USA,Hawaii,,129469,1840023244
Billings,Billings,45.7891,-108.5526,United States,US,USA,Montana,,129267,1840018496
Abilene,Abilene,32.4543,-99.7384,United States,US,USA,Texas,,128053,1840019476
Round Rock,Round Rock,30.527,-97.6642,United States,US,USA,Texas,,127786,1840020879
Greenville,Greenville,35.5943,-77.376,United States,US,USA,North Carolina,,127632,1840013407
Pearland,Pearland,29.5581,-95.3218,United States,US,USA,Texas,,127514,1840020979
Simi Valley,Simi Valley,34.2663,-118.749,United States,US,USA,California,,127125,1840021843
Kenosha,Kenosha,42.5865,-87.8773,United States,US,USA,Wisconsin,,126951,1840003160
Lynchburg,Lynchburg,37.4003,-79.1909,United States,US,USA,Virginia,,126860,1840003855
Waldorf,Waldorf,38.6085,-76.9194,United States,US,USA,Maryland,,126400,1840006175
Clovis,Clovis,36.8278,-119.683,United States,US,USA,California,,124725,1840018944
Yuba City,Yuba City,39.1357,-121.6383,United States,US,USA,California,,124653,1840021463
Seaside,Seaside,36.6224,-121.8199,United States,US,USA,California,,124566,1840021634
Logan,Logan,41.7399,-111.8422,United States,US,USA,Utah,,124449,1840020108
Fort Smith,Fort Smith,35.3495,-94.3695,United States,US,USA,Arkansas,,124220,1840013456
Rochester,Rochester,44.0154,-92.478,United States,US,USA,Minnesota,,122867,1840008987
Burlington,Burlington,44.4876,-73.2316,United States,US,USA,Vermont,,122833,1840002310
Arvada,Arvada,39.832,-105.151,United States,US,USA,Colorado,,122634,1840018788
Mandeville,Mandeville,30.3751,-90.0904,United States,US,USA,Louisiana,,122591,1840015909
West Palm Beach,West Palm Beach,26.7469,-80.132,United States,US,USA,Florida,,122290,1840015993
Pueblo,Pueblo,38.2701,-104.6114,United States,US,USA,Colorado,,121976,1840020255
Independence,Independence,39.0871,-94.3501,United States,US,USA,Missouri,,121740,1840008534
Monroe,Monroe,32.5185,-92.0774,United States,US,USA,Louisiana,,121132,1840014881
The Woodlands,The Woodlands,30.1738,-95.5134,United States,US,USA,Texas,,121002,1840019585
Boulder,Boulder,40.0248,-105.2524,United States,US,USA,Colorado,,120289,1840018774
Berkeley,Berkeley,37.8722,-122.276,United States,US,USA,California,,120257,1840018914
North Charleston,North Charleston,32.9067,-80.0722,United States,US,USA,South Carolina,,119913,1840015164
Brandon,Brandon,27.9367,-82.3,United States,US,USA,Florida,,119767,1840014151
Waterloo,Waterloo,42.4918,-92.3522,United States,US,USA,Iowa,,119632,1840000440
Duluth,Duluth,46.7756,-92.1393,United States,US,USA,Minnesota,,119372,1840007685
Cambridge,Cambridge,42.3759,-71.1185,United States,US,USA,Massachusetts,,118796,1840000429
Richardson,Richardson,32.9716,-96.7093,United States,US,USA,Texas,,118731,1840020710
Lowell,Lowell,42.6389,-71.3217,United States,US,USA,Massachusetts,,118368,1840000426
Broken Arrow,Broken Arrow,36.038,-95.7806,United States,US,USA,Oklahoma,,118180,1840019059
Utica,Utica,43.0962,-75.2261,United States,US,USA,New York,,117943,1840002746
Redding,Redding,40.5698,-122.365,United States,US,USA,California,,117275,1840020141
Clearwater,Clearwater,27.979,-82.7623,United States,US,USA,Florida,,117247,1840015110
St. Cloud,St. Cloud,45.534,-94.1718,United States,US,USA,Minnesota,,116999,1840008881
Harlingen,Harlingen,26.1916,-97.6977,United States,US,USA,Texas,,116926,1840021036
Gilroy,Gilroy,37.0046,-121.5854,United States,US,USA,California,,116882,1840020327
West Jordan,West Jordan,40.6024,-112.0008,United States,US,USA,Utah,,116692,1840021388
League City,League City,29.4874,-95.1087,United States,US,USA,Texas,,116215,1840020973
Port Arthur,Port Arthur,29.8554,-93.9264,United States,US,USA,Texas,,116142,1840020919
Smithtown,Smithtown,40.8663,-73.2164,United States,US,USA,New York,,116097,1840058498
Richmond,Richmond,37.9477,-122.3389,United States,US,USA,California,,115505,1840020277
Westminster,Westminster,39.8837,-105.0624,United States,US,USA,Colorado,,115484,1840021423
Elgin,Elgin,42.0383,-88.324,United States,US,USA,Illinois,,114934,1840008134
Carlsbad,Carlsbad,33.1246,-117.2834,United States,US,USA,California,,114373,1840019352
Pompano Beach,Pompano Beach,26.2428,-80.1312,United States,US,USA,Florida,,114147,1840015143
Riverview,Riverview,27.8227,-82.3023,United States,US,USA,Florida,,113697,1840014158
Miami Gardens,Miami Gardens,25.9433,-80.2426,United States,US,USA,Florida,,113177,1840015151
Bend,Bend,44.0563,-121.3095,United States,US,USA,Oregon,,113075,1840018618
Sioux City,Sioux City,42.4959,-96.3901,United States,US,USA,Iowa,,112803,1840000447
Gresham,Gresham,45.5021,-122.4413,United States,US,USA,Oregon,,112378,1840019939
Murrieta,Murrieta,33.5719,-117.1909,United States,US,USA,California,,112064,1840020553
Saginaw,Saginaw,43.4199,-83.9501,United States,US,USA,Michigan,,112042,1840002813
Everett,Everett,47.9525,-122.1669,United States,US,USA,Washington,,111845,1840019785
East Los Angeles,East Los Angeles,34.0326,-118.1691,United States,US,USA,California,,111647,1840019206
Jacksonville,Jacksonville,34.7289,-77.3941,United States,US,USA,North Carolina,,111529,1840014653
Temecula,Temecula,33.4928,-117.1315,United States,US,USA,California,,111167,1840021937
Idaho Falls,Idaho Falls,43.4871,-112.0362,United States,US,USA,Idaho,,111137,1840018644
Downey,Downey,33.9379,-118.1311,United States,US,USA,California,,110939,1840019245
South Fulton,South Fulton,33.6273,-84.58,United States,US,USA,Georgia,,110471,1840029465
Costa Mesa,Costa Mesa,33.6667,-117.9135,United States,US,USA,California,,110330,1840019326
Menifee,Menifee,33.6909,-117.1849,United States,US,USA,California,,110305,1840022903
Allen,Allen,33.1088,-96.6735,United States,US,USA,Texas,,110265,1840019396
Sparks,Sparks,39.5736,-119.7161,United States,US,USA,Nevada,,110024,1840021337
Leominster,Leominster,42.5209,-71.7717,United States,US,USA,Massachusetts,,110022,1840000437
Sugar Land,Sugar Land,29.5935,-95.6358,United States,US,USA,Texas,,110016,1840022217
Eau Claire,Eau Claire,44.8197,-91.4948,United States,US,USA,Wisconsin,,109971,1840002296
San Buenaventura,San Buenaventura,34.2741,-119.2314,United States,US,USA,California,,109857,1840037414
San Tan Valley,San Tan Valley,33.1786,-111.5629,United States,US,USA,Arizona,,109189,1840027990
Auburn,Auburn,32.6087,-85.4903,United States,US,USA,Alabama,,108605,1840013810
Rio Rancho,Rio Rancho,35.2873,-106.6982,United States,US,USA,New Mexico,,108515,1840020387
Davie,Davie,26.0789,-80.287,United States,US,USA,Florida,,108346,1840017272
Chico,Chico,39.7578,-121.8161,United States,US,USA,California,,108267,1840018778
Hillsboro,Hillsboro,45.5273,-122.936,United States,US,USA,Oregon,,108231,1840019932
Centennial,Centennial,39.5926,-104.8673,United States,US,USA,Colorado,,108201,1840018792
Edison,Edison,40.536,-74.3697,United States,US,USA,New Jersey,,108164,1840081696
Bloomington,Bloomington,39.1637,-86.5257,United States,US,USA,Indiana,,107655,1840007376
Goodyear,Goodyear,33.2614,-112.3622,United States,US,USA,Arizona,,107645,1840020564
Dearborn,Dearborn,42.3127,-83.213,United States,US,USA,Michigan,,107423,1840003969
Holland,Holland,42.7677,-86.0984,United States,US,USA,Michigan,,107348,1840002996
Sandy Springs,Sandy Springs,33.9366,-84.3703,United States,US,USA,Georgia,,107087,1840015609
West Covina,West Covina,34.0555,-117.9113,United States,US,USA,California,,107037,1840021876
Jurupa Valley,Jurupa Valley,34.001,-117.4706,United States,US,USA,California,,107011,1840043419
Bowling Green,Bowling Green,36.9716,-86.4378,United States,US,USA,Kentucky,,106928,1840013265
Longview,Longview,32.5193,-94.7622,United States,US,USA,Texas,,106896,1840020746
Spokane Valley,Spokane Valley,47.6626,-117.2346,United States,US,USA,Washington,,106365,1840021094
El Monte,El Monte,34.0739,-118.0291,United States,US,USA,California,,106109,1840020480
Brockton,Brockton,42.0821,-71.0242,United States,US,USA,Massachusetts,,105386,1840000467
Renton,Renton,47.4784,-122.1918,United States,US,USA,Washington,,105317,1840019827
Buckeye,Buckeye,33.4314,-112.6429,United States,US,USA,Arizona,,104923,1840021939
New Braunfels,New Braunfels,29.6994,-98.1148,United States,US,USA,Texas,,104643,1840021341
Inglewood,Inglewood,33.9566,-118.3444,United States,US,USA,California,,104569,1840019237
Edinburg,Edinburg,26.3196,-98.1597,United States,US,USA,Texas,,104550,1840021020
Burbank,Burbank,34.1879,-118.3235,United States,US,USA,California,,104546,1840019233
El Cajon,El Cajon,32.8017,-116.9604,United States,US,USA,California,,104449,1840020618
Woodbridge,Woodbridge,40.5611,-74.2943,United States,US,USA,New Jersey,,104355,1840081695
Columbia,Columbia,39.2004,-76.859,United States,US,USA,Maryland,,104338,1840005803
Rialto,Rialto,34.1175,-117.3892,United States,US,USA,California,,104143,1840020407
Portsmouth,Portsmouth,43.058,-70.7826,United States,US,USA,New Hampshire,,104019,1840002932
Lee's Summit,Lee's Summit,38.9171,-94.3816,United States,US,USA,Missouri,,103656,1840032155
Kingsport,Kingsport,36.5224,-82.5454,United States,US,USA,Tennessee,,103542,1840014425
Charlottesville,Charlottesville,38.0375,-78.4855,United States,US,USA,Virginia,,103155,1840001678
San Mateo,San Mateo,37.5522,-122.3121,United States,US,USA,California,,103105,1840021551
Vacaville,Vacaville,38.3587,-121.9673,United States,US,USA,California,,102596,1840021498
Wichita Falls,Wichita Falls,33.9072,-98.5291,United States,US,USA,Texas,,102581,1840021923
Longmont,Longmont,40.1686,-105.1005,United States,US,USA,Colorado,,102512,1840020178
Conroe,Conroe,30.3238,-95.4824,United States,US,USA,Texas,,102360,1840019586
Fishers,Fishers,39.9588,-85.9659,United States,US,USA,Indiana,,102337,1840010496
Highlands Ranch,Highlands Ranch,39.5419,-104.9708,United States,US,USA,Colorado,,102257,1840028579
Quincy,Quincy,42.2506,-71.0187,United States,US,USA,Massachusetts,,102114,1840000461
Daly City,Daly City,37.6862,-122.4685,United States,US,USA,California,,101964,1840018926
Lynn,Lynn,42.4781,-70.9664,United States,US,USA,Massachusetts,,101709,1840000409
Carmel,Carmel,39.965,-86.146,United States,US,USA,Indiana,,101651,1840007260
Hesperia,Hesperia,34.3975,-117.3147,United States,US,USA,California,,100775,1840020404
Bismarck,Bismarck,46.8143,-100.7694,United States,US,USA,North Dakota,admin,100537,1840001926
Santa Fe,Santa Fe,35.6619,-105.9819,United States,US,USA,New Mexico,admin,100264,1840021707
Boca Raton,Boca Raton,26.3752,-80.108,United States,US,USA,Florida,,100234,1840014207
Norwalk,Norwalk,33.9069,-118.0829,United States,US,USA,California,,99789,1840020501
San Angelo,San Angelo,31.4424,-100.4504,United States,US,USA,Texas,,99674,1840022146
Lafayette,Lafayette,39.9946,-105.0998,United States,US,USA,Colorado,,99552,1840020180
Federal Way,Federal Way,47.3091,-122.3358,United States,US,USA,Washington,,99493,1840019826
Atascocita,Atascocita,29.9777,-95.1953,United States,US,USA,Texas,,99354,1840018251
Vista,Vista,33.1896,-117.2386,United States,US,USA,California,,99114,1840021994
Prescott Valley,Prescott Valley,34.598,-112.3185,United States,US,USA,Arizona,,98921,1840021772
Suffolk,Suffolk,36.6953,-76.6398,United States,US,USA,Virginia,,98796,1840003873
Palm Coast,Palm Coast,29.5389,-81.2457,United States,US,USA,Florida,,98258,1840015064
Toms River,Toms River,39.9895,-74.1654,United States,US,USA,New Jersey,,98143,1840081605
Williamsburg,Williamsburg,37.2693,-76.7076,United States,US,USA,Virginia,,97985,1840001720
Sunrise,Sunrise,26.1547,-80.2997,United States,US,USA,Florida,,97918,1840016000
Beaverton,Beaverton,45.4779,-122.8168,United States,US,USA,Oregon,,97812,1840018556
Middletown,Middletown,39.5033,-84.3659,United States,US,USA,Ohio,,97529,1840003804
Lawrence,Lawrence,38.9597,-95.2642,United States,US,USA,Kansas,,97387,1840001632
La Crosse,La Crosse,43.8241,-91.2268,United States,US,USA,Wisconsin,,97218,1840002577
Portsmouth,Portsmouth,36.8468,-76.354,United States,US,USA,Virginia,,97190,1840003872
Orem,Orem,40.2981,-111.6994,United States,US,USA,Utah,,97182,1840020171
Tracy,Tracy,37.7269,-121.4523,United States,US,USA,California,,96966,1840021518
